instance,path,nodes,time(ms)
1,8.649,18065,299.49
1,8.649,18065,300.28
1,8.649,18065,292.92
1,8.649,18065,262.92
1,8.649,18065,306.71
1,8.649,18065,314.78
1,8.649,18065,273.59
1,8.649,18065,268.88
1,8.649,18065,313.84
1,8.649,18065,295.73
1,8.649,18065,315.50
1,8.649,18065,288.57
1,8.649,18065,300.88
1,8.649,18065,291.41
1,8.649,18065,302.35
1,8.649,18065,277.85
1,8.649,18065,325.72
1,8.649,18065,340.72
1,8.649,18065,281.85
1,8.649,18065,302.80
1,8.649,18065,289.84
1,8.649,18065,294.89
1,8.649,18065,273.74
1,8.649,18065,288.45
1,8.649,18065,286.66
1,8.649,18065,267.85
1,8.649,18065,282.91
1,8.649,18065,331.97
1,8.649,18065,302.13
1,8.649,18065,320.81
1,8.649,18065,287.82
1,8.649,18065,287.30
1,8.649,18065,299.96
1,8.649,18065,304.21
1,8.649,18065,279.54
1,8.649,18065,299.04
1,8.649,18065,320.12
1,8.649,18065,293.55
1,8.649,18065,319.67
1,8.649,18065,332.79
1,8.649,18065,316.78
1,8.649,18065,344.47
1,8.649,18065,298.27
1,8.649,18065,303.70
1,8.649,18065,315.50
1,8.649,18065,306.60
1,8.649,18065,290.31
1,8.649,18065,290.41
1,8.649,18065,305.15
1,8.649,18065,302.73
1,8.649,18065,306.80
1,8.649,18065,248.15
1,8.649,18065,269.86
1,8.649,18065,240.54
1,8.649,18065,302.27
1,8.649,18065,271.60
1,8.649,18065,260.87
1,8.649,18065,283.06
1,8.649,18065,270.24
1,8.649,18065,294.96
1,8.649,18065,278.68
1,8.649,18065,259.71
1,8.649,18065,292.75
1,8.649,18065,340.41
1,8.649,18065,324.36
1,8.649,18065,296.23
1,8.649,18065,297.38
1,8.649,18065,294.17
1,8.649,18065,274.97
1,8.649,18065,270.66
1,8.649,18065,257.74
1,8.649,18065,267.28
1,8.649,18065,311.72
1,8.649,18065,325.93
1,8.649,18065,314.58
1,8.649,18065,292.95
1,8.649,18065,296.34
1,8.649,18065,298.27
1,8.649,18065,324.03
1,8.649,18065,350.49
1,8.649,18065,292.95
1,8.649,18065,289.23
1,8.649,18065,255.39
1,8.649,18065,305.71
1,8.649,18065,314.67
1,8.649,18065,315.36
1,8.649,18065,278.21
1,8.649,18065,322.13
1,8.649,18065,318.18
1,8.649,18065,311.99
1,8.649,18065,300.80
1,8.649,18065,314.57
1,8.649,18065,296.58
1,8.649,18065,287.78
1,8.649,18065,304.92
1,8.649,18065,259.73
1,8.649,18065,269.71
1,8.649,18065,289.71
1,8.649,18065,312.73
1,8.649,18065,280.27
2,19.030,8022,368.61
2,19.030,8022,622.40
2,19.030,8022,505.28
2,19.030,8022,284.10
2,19.030,8022,595.56
2,19.030,8022,524.87
2,19.030,8022,352.57
2,19.030,8022,586.01
2,19.030,8022,313.64
2,19.030,8022,254.48
2,19.030,8022,315.59
2,19.030,8022,351.35
2,19.030,8022,352.37
2,19.030,8022,295.80
2,19.030,8022,524.38
2,19.030,8022,352.51
2,19.030,8022,299.59
2,19.030,8022,283.15
2,19.030,8022,558.97
2,19.030,8022,281.01
2,19.030,8022,538.87
2,19.030,8022,332.29
2,19.030,8022,344.65
2,19.030,8022,570.77
2,19.030,8022,524.28
2,19.030,8022,505.65
2,19.030,8022,279.05
2,19.030,8022,280.12
2,19.030,8022,280.82
2,19.030,8022,287.09
2,19.030,8022,474.44
2,19.030,8022,348.12
2,19.030,8022,296.38
2,19.030,8022,365.33
2,19.030,8022,451.73
2,19.030,8022,267.02
2,19.030,8022,473.39
2,19.030,8022,327.83
2,19.030,8022,363.25
2,19.030,8022,529.89
2,19.030,8022,486.84
2,19.030,8022,546.43
2,19.030,8022,359.89
2,19.030,8022,292.98
2,19.030,8022,296.11
2,19.030,8022,283.53
2,19.030,8022,483.77
2,19.030,8022,295.80
2,19.030,8022,344.14
2,19.030,8022,347.51
